Week,Date,Bet,Risk Level,Result,Profit
1,3/31,Dallas Mavericks (-9) vs. Brooklyn Nets,Lock,Miss,-$5.00
1,3/31,Los Angeles Lakers (-4) vs. Houston Rockets,Lock,Hit,$4.55
1,3/31,Boston Celtics (-5) vs. Memphis Grizzlies,Risk,Hit,$4.55
1,3/31,1. Kawhi Leonard Over 22.5 Points (-110),Lock,Hit,$4.55
1,3/31,2. P.J. Washington Over 16.5 Points (-115),Lock,Hit,$4.55
1,3/31,3. Alex Sarr Over 1.5 Blocks (+135),Risk,Hit,$6.75
1,3/31,4. Zach LaVine Over 20.5 Points (-108),Lock,Miss,-$5.00
1,3/31,Drew Timme Over 10.5 Points (-125),Risk,Hit,$6.75
1,4/2,Malik Monk Over 20.5 Points + Assists (-102),Lock ,Hit,$4.90
1,4/2, Karl-Anthony Towns Over 23.5 Points (-114),Lock,Hit,$4.39
1,4/2, Tyrese Haliburton to Record a Double-Double (+100),Risk,Hit,$10.00
1,4/2,Domantas Sabonis Over 34.5 Points + Rebounds (-110),Lock,Miss,-$5.00
1,4/2,Houston Rockets (-16.5) vs. Utah Jazz,Lock,Hit,$4.55
1,4/2,Boston Celtics (-10.5) vs. Miami Heat,Lock,Miss,-$5.00
1,4/2,Oklahoma City Thunder (-13.5) vs. Detroit Pistons,Risk,Hit,$4.55
3,4/21,New York Knicks -6.5 vs. Detroit Pistons,Lock,Miss,-$20.00
3,4/21,Over 218.5 Total Points – LA Clippers vs. Denver Nuggets,Risk,Miss,-$30.00
3,4/21,Jalen Brunson Over 26.5 Points,Risk,Hit,$22.73
3,4/21,Nikola Jokic to Record a Triple-Double,Risk,Hit,$50.00
3,4/23,Alec Burks Over 5.5 Points,Lock,Hit,$11.40
3,4/23,Jimmy Butler Over 35.5 PRA,Risk,Miss,-$10.00
3,4/23,Cole Anthony Over 9.5 PRA,Risk,Miss,-$10.00
3,4/23,Orlando Magic +10.5,Risk,Hit,$9.09
3,4/23,"Rockets -3.5, Celtics -10.5, Cavaliers Moneyline",Parlay,Miss,-$5.00
4,5/4,1. Stephen Curry Over 26.5 Points (-115),Lock,Miss,-$5.00
4,5/4,2. Alperen Şengün Over 10.5 Rebounds (-130),RIsk,Hit,$8.85
4,5/4,3. Game Total Under 206.5 Points (-110),Risk,Hit,$9.55
4,5/4,4. Brandin Podziemski Over 1.5 Made Three-Pointers (-140),Risk,Hit,$8.57
4,5/4,🎯 5. Game to Go to Overtime (+1100),Risk,Miss,-$5.00
4,5/5,Nikola Jokic Over 12.5 Rebounds,Lock,Hit,$3.70
4,5/5,Thunder -9.5 Spread,Lock,Miss,-$5.00
4,5/5,Shai Gilgeous-Alexander Over 6.5 Assists,Risk,Miss,-$5.00
4,5/5,Jamal Murray Under 20.5 Points,Risk,Miss,-$5.00
4,5/7,"Jayson Tatum Over 27.5 Points +
Celtics -10.5 Spread",Parlay,Miss,-$5.00
4,5/7,Shai Gilgeous-Alexander Over 32.5 Points + Jalen Williams Over 5.5 Assists,Parlay,Hit,$12.50
4,5/7,Nikola Jokic to Record a Triple-Double + Game Total Over 229.5 Points,Parlay,Miss,-$5.00
4,5/7,Al Horford Over 13.5 Points + Rebounds + Assists + Karl-Anthony Towns Under 19.5 Points,Parlay,Miss,-$5.00
4,5/7,Jaylen Brown to Score First Basket + Celtics First Quarter -3.5 Spread,Parlay,Miss,-$5.00
4,5/8,Anthony Edwards Over 27.5 Points,Lock,Hit,$18.18
4,5/8,Rudy Gobert Over 10.5 Rebounds,Lock,Hit,$15.38
4,5/8,Buddy Hield Over 3.5 Made Threes,Risk,Hit,$16.80
4,5/8,Green Over 10.5,Risk,Hit,$12.60
4,5/8,"3-Leg Parlay: Edwards Over 27.5 Points, Hield Over 3.5 Made Threes, Green Over 10.5 Points",Parlay,Hit,$34.50
4,5/9,Donovan Mitchell Over 30.5 Points,Lock,Hit,$4.55
4,5/10,Andrew Nembhard Over 13.5 Points,Lock,Hit,$4.17
4,5/10,Aaron Nesmith Over 2.5 Made 3-Pointers,Risk,Miss,-$5.00
4,5/10,Russell Westbrook Over 13.5 Points,Risk,Miss,-$5.00
4,5/10,Russell Westbrook Over 13.5 Points + Donovan Mitchell over 30.5 Points + Andrew nembrhard Over 13.5 Points,Parlay,Miss,-$5.00
4,5/11,Oklahoma City Thunder +7 at Denver Nuggets,Lock,Hit,$4.55
4,5/11,Cleveland Cavaliers -4.5 vs. Indiana Pacers,Risk,Miss,-$5.00
